Nickname,Common Name,Scientific Name,Water,Light,Dry between Waterings,Spike,Holes,Width,Height
,Lemon Thyme,Thymus citriodorus,2,4,TRUE,TRUE,FALSE,80,30
,Rosemary,Salvia rosmarinus,2,4,TRUE,TRUE,FALSE,80,30
,Aralia Fabian,Polyscias scutellaria,2,3,TRUE,TRUE,FALSE,80,30
,Aloe Vera,Aloe Vera,1,3,TRUE,TRUE,FALSE,80,30
,Fiddle-Leaf Fig,Ficus lyrata,2,3,FALSE,TRUE,FALSE,80,30
,Rubber Plant,Ficus elastica,2,3,FALSE,TRUE,FALSE,80,30
,Bromeliad,Vriesea splendens,3,3,FALSE,TRUE,FALSE,80,30
,Flaming Sword,Viresea splendens,3,3,FALSE,TRUE,FALSE,80,30
,Lemon Tree,Citrus limon,3,4,FALSE,TRUE,FALSE,80,30
,Waxflower,Dischedia ovata,3,3,FALSE,TRUE,FALSE,80,30
,Pinstriped Calathea,Goeppertia ornata,3,2,FALSE,TRUE,FALSE,80,30
,Red Secret,Alocasia cuprea red,3,3,FALSE,TRUE,FALSE,80,30
,Red Secret,Alocasia cuprea red,3,3,FALSE,TRUE,FALSE,80,30
,Dumb Cane,Dieffenbachia seguine,3,2,FALSE,TRUE,FALSE,80,30
,Dumb Cane,Dieffenbachia seguine,3,2,FALSE,TRUE,FALSE,80,30
,Curly Parsley,Petroselinum crispum,3,4,FALSE,TRUE,FALSE,80,30
,Nasturtium,Tropaeolum majus,3,4,FALSE,TRUE,FALSE,80,30